;Title;Tags;Author;Text;Date
0;Tennis great Boris Becker could face jail after bankruptcy guilty verdict;['WORLD'];AFP;» LONDON - Former Wimbledon champion Boris Becker could be jailed for up to seven years after being found guilty of charges relating to his 2017 bankruptcy by a London court on Friday.;2022-04-08
1;Belgium shuts Kinder chocolate factory over salmonella;['WORLD'];AFP;» BRUSSELS - Belgian authorities on Friday ordered the closure of a Kinder chocolate factory suspected to be behind a wave of salmonella cases in several European countries and the United States.;2022-04-08
2;Crisis-hit Sri Lanka hikes rates as protests spiral;['WORLD'];AFP;» COLOMBO - Cash-strapped Sri Lanka's central bank hiked interest rates by a record 700 basis points Friday as police fired tear gas at hundreds of students protesting over the economic crisis.;2022-04-08
3;First private mission launches for International Space Station;['WORLD'];AFP;» WASHINGTON - The first fully private mission to the International Space Station blasted off from Florida Friday with a four-member crew from startup company Axiom Space.;2022-04-08
4;Russia delivers surprise rate cut;['WORLD'];;» Russia’s central bank unexpectedly slashed its key interest rate in a sign of confidence that the worst of the financial turmoil triggered by the invasion of Ukraine is past.;2022-04-08
5;At least 50 killed in Ukraine train station attack;['WORLD'];;» At least 50 people were killed, including five children, in a missile strike on a rail station in the eastern Ukrainian city of Kramatorsk that was being used for evacuations, regional governor Pavlo Kyrylenko said on Friday.;2022-04-08
6;'Bodies everywhere' as rockets strike Ukraine evacuation hub;['WORLD'];AFP;» KRAMATORSK, Ukraine: Bodies, packed bags and stuffed animals were flung to the ground outside the Ukrainian train station in the city of Kramatorsk after two rockets slammed into the busy hub for evacuees.;2022-04-08
7;Tiger to make late start in Masters comeback;['WORLD'];AFP;» AUGUSTA, Georgia: Tiger Woods continues his remarkable comeback from severe leg injuries Friday with an afternoon tee time at the Masters, where the second round began with the legend in title contention.;2022-04-08
8;Myanmar hands over 'most wanted' drug suspect;['THAILAND'];Wassayos Ngamkham;» Myanmar police on Friday handed over one of Thailand’s most wanted drug suspects Thawatchai Aomchompoo, alias Bang Lai, to their Thai counterparts.;2022-04-08
9;Lucky licence plate auctions to fetch B300m;['THAILAND'];Post Reporters;» The Department of Land Transport expects to earn at least 300 million baht from its auction of 82 auspiciously numbered vehicle registration plates, according to director-general Chirute Visalachitra.;2022-04-08
10;US arrests 3 Thais and 'yakuza chief';['WORLD'];;» NEW YORK: US authorities said they had arrested a Japanese yakuza organised crime leader and three Thai men who trafficked heroin and methamphetamine and tried to acquire surface-to-air missiles for rebel groups in Myanmar and Sri Lanka.;2022-04-08
11;Covid vaccine supply exceeds demand;['WORLD'];;» After two years of racing to vaccinate the world against Covid-19, the number of available doses now surpasses demand in many areas.;2022-04-08
12;India under fresh scrutiny as UN panel calls for shunning coal;['WORLD'];AFP;» DADRI (INDIA) - The mounds of jet-black coal shimmering under the afternoon sun at the Dadri power plant are a raw illustration of India's coal dependence -- a habit that despite increasing pressure, the country is finding hard to kick.;2022-04-08
13;Illegal job seekers caught on western border;['THAILAND'];Piyarat Chongcharoen;» KANCHANABURI: Fifty Myanmar nationals were arrested after they illegally crossed the border into three districts of this western border province on April 7-8, police said.;2022-04-08
14;Police plan for Songkran and the 'seven deadly days';['THAILAND'];Online Reporters;» About 80,000 police will be on duty throughout the country for Songkran, with the emphasis on directing traffic, reducing road accidents and crime suppression, deputy police chief Pol Gen Damrongsak Kittiprapas said on Friday.;2022-04-08
15;Girl, 14, gets boyfriend to kill her mother;['THAILAND'];Sutthiwit Chayutworakan;"» SAMUT PRAKAN: A 14-year-old girl convinced her 16-year-old boyfriend to kill her mother because she was ""obstructing their love"".";2022-04-08
16;Macron targets Le Pen as election lead narrows;['WORLD'];AFP;» PARIS - French President Emmanuel Macron on Friday hit out at his main election rival, far-right leader Marine Le Pen, as his narrowing lead in polls intensified concerns among supporters that winning a second term is far from assured.;2022-04-08
17;BOI joins BCCT Luncheon & Fireside Chat;['BUSINESS'];;» Thailand Board of Investment (BOI) Secretary-General Ms. Duangjai Asawachintachit, joined the latest BCCT Luncheon & Fireside Chat on the topic of “Resilient Thailand: From Resiliency to Recovery and Beyond” organized by the British Chamber of Commerce Thailand (BCCT) at The St. Regis Bangkok on 30 March 2022. Opening remarks were delivered by Minister of Finance Mr. Arkhom Termpittayapaisith. Kla Party Leader and former Finance Minister Mr. Korn Chatikavanij and Fiscal Policy Advisor, Mr. Warotai Kosolpisitkul, also addressed the gathering.;2022-04-08
18;Food prices jump most on record as war sparks supply chaos;['WORLD'];;» Global food prices are surging at the fastest pace ever as the war in Ukraine chokes crop supplies, piling more inflationary pain on consumers and worsening a global hunger crisis.;2022-04-08
19;Songkran figures to determine future easing of travel restrictions;['BUSINESS'];Online Reporters;» Further easing of travel restrictions to help the struggling tourism sector will depend on  an evaluation of the Covid-19 situation after the Songkran holiday next week.;2022-04-08
20;VIDEO: Plane breaks in two during landing in Costa Rica;['REALLY EASY NEWS'];Gary Boyle;» A cargo plane skidded off the runway and broke in two during an emergency landing in Costa Rica on Thursday.;2022-04-08
21;Plane breaks in two after emergency landing in Costa Rica;['WORLD'];AFP;» A cargo plane carrying mail and packages skidded off the runway and broke in two during an emergency landing in Costa Rica on Thursday, causing the temporary closure of the international airport in San Jose.;2022-04-08
