;Title;Text;Date;Images
0;ЕАБР и ЗАО «АРМСВИСБАНК» договорились о развитии программы поддержки торгового финансирования в Республике Армения;"Ереван, 25 марта 2022 года. Евразийский банк развития (ЕАБР) и ЗАО «АРМСВИСБАНК» (Республика Армения) подписали рамочное соглашение о предоставлении возобновляемой кредитной линии на общую сумму 5 млн долларов США на цели торгового финансирования. Средства кредитной линии ЕАБР будут направлены на финансирование торговых контрактов клиентов ЗАО «АРМСВИСБАНК».
«Подписанное сегодня соглашение с ЗАО «АРМСВИСБАНК» является продолжением успешной реализации программы ЕАБР по поддержке торгового финансирования в государствах-участниках нашего Банка. Мы считаем, что проект окажет положительное воздействие на развитие деятельности ЗАО «АРМСВИСБАНК», в том числе окажет поддержку направлению по предоставлению торгового финансирования клиентам банка в Республике Армения, и рассчитываем на рост взаимной торговли между государствами-участниками ЕАБР», — отметил заместитель председателя Правления ЕАБР Денис Ильин.
«Для нас очень важно расширение сотрудничества с международными финансовыми институтами в сфере торгового финансирования. Торговое финансирование является одним из стратегических направлений для Банка, и мы уже имеем богатый опыт в этой сфере благодаря долгосрочнօму сотрудничеству с другими международными организациями. Это первый договор между Армсвисбанком и ЕАБР, и мы надеемся, что существующее сотрудничество имеет большую перспективу развития, что может обеспечить более выгодные условия финансирования для наших клиентов», — отметил исполнительный директор Армсвисбанка Геворг Мачанян.
Справка:
Евразийский банк развития (ЕАБР) — международная финансовая организация, осуществляющая инвестиционную деятельность на евразийском пространстве. Уже 15 лет ЕАБР содействует укреплению и расширению экономических связей и всестороннему развитию стран ЕАЭС+. Уставный капитал ЕАБР составляет 7 млрд долларов США. Основную долю в портфеле ЕАБР занимают проекты с интеграционным эффектом в сферах транспортной инфраструктуры, цифровых систем, зеленой энергетики, сельского хозяйства, промышленности и машиностроения. В своей деятельности Банк руководствуется Целями в области устойчивого развития ООН и принципами ESG.
Армсвисбанк- один из ведущих банков Армении, специализирующийся на предоставлении принятых в международной банковской практике как традиционных, так и новейших банковских решений в области корпоративных и инвестиционных услуг. Банк занимает 4-е место среди армянских банков по величине капитала, 5-е по прибыли и 6-е по активам. Банк активно сотрудничает с такими международными финансовыми организациями как Европейский Банк Реконструкции и Развития, Азиатский Банк Развития, KFW, Европейский Инвестиционный Банк, responsAbility и другими. Является лидером в предоставлении услуг Торгового Финансирования и Факторинга, многократно номинирован партнерами как лучий банк в финансировании торговли. Так в 2019, 2020, 2021 годах АРМСВИСБАНК номинирован Европейским Банком Реконструкции и Развития как самый активный банк-эмитент в Армении, а Азиатский Банк Развития присудил номинацию Ведущий банк-партнер 2021 года.
Контакты пресс-центра ЕАБР:
Сапаргалиева Азима, +7 (777) 750 00 08 (Алматы)
Горбачёв Сергей, +7 (916) 727 22 00 (Москва)
pressa@eabr.org
www.eabr.org";2022-03-25;[]
1;Директор ЕАБР по Республике Таджикистан обсудил сотрудничество с Фондом Ага Хана в Таджикистане ;"Душанбе, 23 февраля 2022 года. Директор ЕАБР по Республике Таджикистан Николай Никулин встретился с постоянным представителем Фонда Ага Хана по развитию в Таджикистане Козидавлатом Коимдодовым. В ходе встречи стороны обсудили перспективные вопросы взаимодействия по различным направлениям деятельности Фонда и Банка.
Николай Никулин рассказал о разработанной Банком страновой стратегии на пятилетний период, до 2026 года, направленной на содействие устойчивому развитию Таджикистана и ускорению региональной экономической интеграции.
Директор ЕАБР по Республике Таджикистан подчеркнул, что приоритетными направлениями работы на территории этой страны станут проекты, способствующие развитию зеленой энергетики, реконструкции электросетевой инфраструктуры в рамках ЦАЭС, проекты развития агропромышленного комплекса, в частности сектора переработки сельхозпродукции, создания логистических оптовых центров, диверсификации промышленности, развития частного сектора и предпринимательства, поддержки цифровых проектов органов государственной власти и в корпоративном секторе.
Козидавлат Коимдодов, в свою очередь, рассказал о работе Фонда Ага Хана по развитию, который активно осуществляет деятельность в Таджикистане с 1992 года. Он также представил долгосрочные инвестиционные программы, реализуемыми Фондом в стране. Программы направлены на стимулирование притока иностранных инвестиций и укрепление финансового сектора путем создания микрокредитных организаций для развития предпринимательства, а также поддержки малого и среднего бизнеса, секторов энергетики, телекоммуникаций и туризма.
По результатам встречи стороны намерены развивать сотрудничество в секторах экономики, представляющих взаимный интерес. Дальнейшие шаги взаимовыгодного сотрудничества будут рассмотрены сторонами на экспертном уровне в ближайшей перспективе.
Справка:
Евразийский банк развития (ЕАБР) — международная финансовая организация, осуществляющая инвестиционную деятельность на евразийском пространстве. Уже более 15 лет ЕАБР содействует укреплению и расширению экономических связей и всестороннему развитию стран-участниц: Армении, Беларуси, Казахстана, Кыргызстана, России и Таджикистана. Уставный капитал ЕАБР составляет 7 млрд долларов США. Основную долю в портфеле ЕАБР занимают проекты с интеграционным эффектом в сферах транспортной инфраструктуры, цифровых систем, зеленой энергетики, сельского хозяйства, промышленности и машиностроения. В своей деятельности Банк руководствуется Целями в области устойчивого развития ООН и принципами ESG.
Контакты пресс-центра ЕАБР:
Сапаргалиева Азима, +7 (777) 750 00 08 (Алматы)
Горбачёв Сергей, +7 (916) 727 22 00 (Москва)
pressa@eabr.org
www.eabr.org";2022-02-23;[]
2;В приложении «Путешествую без COVID-19» стал доступен статус привитых в Беларуси и переболевших в Армении;"Москва, 21 октября 2021 года. Фондом цифровых инициатив Евразийского банка развития (ФЦИ ЕАБР)расширен функционал приложения «Путешествую без COVID-19»: теперь для привитых от коронавирусной инфекции в Республике Беларусь и переболевших в Республике Армения есть возможность загрузить свой статус.
Рейтинг приложения в App Store на данный момент составляет 4,6 из 5,0, оно вошло в топ-20 в категории «Медицина». В Google Play приложение оценивается пользователями как 4,3 из 5,0.
Ранее в «Путешествую без COVID-19» была добавлена функция загрузки и отображения информации о прохождении вакцинации в Республике Армения, Республике Узбекистан, Кыргызской Республике и Российской Федерации. Порядка 80 тыс. граждан уже воспользовались данной возможностью.
Для загрузки информации о вакцинации в приложении необходимо перейти в раздел «Вакцинация» и отсканировать QR-код из сертификата вакцинации.
На сегодня число пользователей «Путешествую без COVID-19» составляет 1,5 млн. Порядка 3,5 млн раз приложениемвоспользовались для получения результатов ПЦР-тестов. В настоящее время представление ПЦР-теста в мобильномприложении «Путешествую без COVID-19» является обязательным для въезда в Россию из Азербайджана, Армении, Беларуси, Казахстана, Кыргызстана, Молдовы, Таджикистана и Узбекистана.
К приложению подключены 7 831 пунктов забора биоматериала: 113 — в Армении, 77 — в Беларуси, 4 789 — в России, 1 798 — в Казахстане, 227 — в Кыргызстане, 179— в Таджикистане, 242 — в Узбекистане, 287 — в Азербайджане, 119 — в Молдове.
Важно отметить, что порядок пересечения границы того или иного государства при помощи «Путешествую без COVID-19», а также сведения, которые требуется предоставить в приложении (данные о ПЦР-тестировании, вакцинации или о перенесенном заболевании), регламентируются национальным законодательством.
«Путешествую без COVID-19» — первый проект ФЦИ ЕАБР. Задача приложения — обеспечить свободное и безопасное перемещение граждан между странами в условиях пандемии коронавирусной инфекции. Цифровое решение снижает риск распространения заболевания и обеспечивает надежную систему контроля на межгосударственном уровне. При этом уникальность архитектуры такова, что при трансграничном информационном обмене не присутствуют персональные данные гражданина. Все сведения остаются только на национальном уровне, где происходило тестирование. Благодаря этому защита персональных данных осуществляется исключительно в соответствии с национальным законодательством.
Когда гражданин проходит тестирование в стране отправления, лаборатория отображает эту информацию в национальной системе, и она в виде QR-кода появляется в специальном приложении на мобильном устройстве сдающего анализ. Пользователь, показывающий QR-код для проверки третьим лицам, в том числе контролирующим органам стран ЕАЭС, предоставляет им возможность проверить в режиме реального времени валидность этих QR-кодов. Удостовериться, что результаты тестирования пользователя действительны, могут сотрудники гостиниц, ресторанов, авиакомпаний и т. д., если пользователь предоставляет им QR-код для сканирования.
Программа доступна в App Store, Google Play и AppGallery (магазин приложений Huawei).
Справка:
Евразийский банк развития (ЕАБР) — международная финансовая организация, осуществляющая инвестиционную деятельность на евразийском пространстве. Уже 15 лет ЕАБР содействует укреплению и расширению экономических связей и всестороннему развитию стран-участниц: Армении, Беларуси, Казахстана, Кыргызстана, России и Таджикистана. Уставный капитал ЕАБР составляет 7 млрд долларов США. Основную долю в портфеле ЕАБР занимают проекты с интеграционным эффектом в сферах транспортной инфраструктуры, цифровых систем, зеленой энергетики, сельского хозяйства, промышленности и машиностроения. В своей деятельности Банк руководствуется Целями в области устойчивого развития ООН и принципами ESG.
Фонд цифровых инициатив Евразийского банка развития (ФЦИ ЕАБР) учрежден Советом Банка 30 июня 2020 года. Цель Фонда — оказание содействия в формировании инструментов и практик цифровой трансформации государств — участников ЕАБР, в том числе путем интеграции информационных ресурсов и участия в разработке и финансировании проектов, в том числе в рамках Основных направлений цифровой повестки ЕАЭС. Приоритетные направления работы в Республике Таджикистан: обеспечение энергетической безопасности страны через развитие малой гидро- и солнечной энергетики, реконструкции электросетевой инфраструктуры; обеспечение продовольственной безопасности через развитие сектора переработки сельхозпродукции; диверсификация промышленности и развитие предпринимательства через создание промышленных предприятий и поддержку МСБ; осуществление цифровой трансформации через участие в разработке цифровых решений, направленных на укрепление интеграционных взаимосвязей, поддержку цифровых проектов госорганов и в корпоративном секторе.
Контакты пресс-центра ЕАБР:
Сапаргалиева Азима, +7 (777) 750 00 08 (Алматы)
Горбачёв Сергей, +7 (916) 727 22 00 (Москва)
pressa@eabr.org
www.eabr.org";2022-02-21;[]
3;ЕАБР открыл счета через расчетно-платежную инфраструктуру для первого клиента из Армении;"Ереван, 17 февраля 2022 года.
	В Евразийском банке развития (ЕАБР) открыты счета для первого клиента из Республики Армения в рамках расчетно-платежной инфраструктуры. Им стала крупнейшая сталелитейная компания Армении — АСКЕ ГРУП.
АСКЕ ГРУП открыла счета в долларах США, евро, армянских драмах и российских рублях.
Расчетно-платежная инфраструктура ЕАБР позволяет осуществлять расчеты между резидентами стран — участниц Банка в локальной валюте, через корреспондентские счета ЕАБР, открытые непосредственно в национальных (центральных) банках с одновременной конвертацией валют, благодаря наличию прямого доступа к биржевым и межбанковским рынкам стран-участниц.
На сегодняшний день платежная система ЕАБР насчитывает 78 участников из всех 6 государств — членов Банка, среди которых крупнейшие коммерческие банки, биржи, депозитарии, а также международные финансовые организации, центральные (национальные) банки и институты развития стран ЕАЭС.
«Одна из ключевых задач, стоящих перед ЕАБР, — интеграция финансовых рынков, и первый клиент из Армении в рамках расчетно-платежной инфраструктуры нашего Банка является первым и важным шагом на этом пути. Мы готовы оказать всестороннюю поддержку для расширения сотрудничества с АСКЕ ГРУП как в рамках проектной деятельности, так и в организации привлечения денежных средств через выпуск ценных бумаг АСКЕ ГРУП на рынках капитала стран — участниц Банка», — отметил заместитель председателя Правления ЕАБР Данияр Имангалиев.
Справка:
Евразийский банк развития (ЕАБР) — международная финансовая организация, осуществляющая инвестиционную деятельность на евразийском пространстве. Уже 15 лет ЕАБР содействует укреплению и расширению экономических связей и всестороннему развитию стран-участниц: Армении, Беларуси, Казахстана, Кыргызстана, России и Таджикистана. Уставный капитал ЕАБР составляет 7 млрд долларов США. Основную долю в портфеле ЕАБР занимают проекты с интеграционным эффектом в сферах транспортной инфраструктуры, цифровых систем, зеленой энергетики, сельского хозяйства, промышленности и машиностроения. В своей деятельности Банк руководствуется Целями в области устойчивого развития ООН и принципами ESG.
Контакты пресс-центра ЕАБР:
Сапаргалиева Азима, +7 (777) 750 00 08 (Алматы)
Горбачёв Сергей, +7 (916) 727 22 00 (Москва)
pressa@eabr.org
www.eabr.org";2022-02-17;[]
4;ЕАБР помог 12 банкам-партнерам из Армении, Беларуси и Кыргызстана повысить свою эффективность, обеспечив им доступ к проекту Программы развития ООН;"Алматы, 16 февраля 2022 года. По инициативе Евразийского банка развития (ЕАБР) оказано содействие его 12 банкам-партнерам из Армении, Беларуси и Кыргызстана для повышения их эффективности при предоставлении финансовых инструментов и оценке поступающих к ним проектов от малых и средних предприятий. Это стало возможным благодаря реализации Программой развития ООН (ПРООН) совместно с ЕАБР специального проекта «Укрепление потенциала в целях устойчивого финансирования развития в регионе СНГ». Основное финансирование проекта осуществляется за счет средств Трастового фонда «Российская Федерация — ПРООН в целях развития».
По результатам специально проведенного международным консультантом ПРООН исследования, которое выявило актуальные потребности банков, была разработана образовательная программа. Она включала в себя вопросы управления рисками и комплаенс, оптимизации процессов, информационных технологий и информационной безопасности, разработки моделей кредитного скоринга, цифрового маркетинга, управления эффективностью и мотивации сотрудников. В соответствии с этой образовательной программой для 170 сотрудников банков — партнеров ЕАБР международными консалтинговыми агентствами проведены очные и онлайн-тренинги.
Кроме того, в рамках проекта ПРООН и ЕАБР международным консультантом проведен анализ лучших практик предоставления международными институтами развития финансирования банкам второго уровня, который может быть адаптирован к рынку СНГ. В первую очередь изучался опыт, связанный с повышением энергоэффективности и устойчивого сельскохозяйственного производства, а также поддержки малого и среднего предпринимательства и др. В результате анализа были скорректированы действующие кредитные линии и предложено 17 новых кредитных продуктов. Со своей стороны, ЕАБР выработал новые инструменты предоставления финансирования банкам-партнерам второго уровня на комфортных и целесообразных для них условиях.
«Эффективный и стабильный финансовый сектор является важной составляющей устойчивого роста экономик государств — участников ЕАБР. Банк на протяжении длительного времени фондирует финансовые институты в странах присутствия в рамках программ поддержки малого и среднего бизнеса, микрофинансирования, торгового финансирования и иных программ поддержки деятельности банков и других финансовых институтов. В этой связи мы были рады плодотворному сотрудничеству с Программой развития ООН, которое позволило нашим банкам-партнерам в еще большей степени укрепить потенциал своего развития по самым разным направлениям их деятельности», — отметил заместитель председателя Правления ЕАБР Амангельды Исенов.
Справка:
Евразийский банк развития (ЕАБР) — международная финансовая организация, осуществляющая инвестиционную деятельность на евразийском пространстве. Более 15 лет ЕАБР содействует укреплению и расширению экономических связей и всестороннему развитию стран-участниц: Армении, Беларуси, Казахстана, Кыргызстана, России и Таджикистана. Уставный капитал ЕАБР составляет 7 млрд долларов США. Основную долю в портфеле ЕАБР занимают проекты с интеграционным эффектом в сферах транспортной инфраструктуры, цифровых систем, зеленой энергетики, сельского хозяйства, промышленности и машиностроения. В своей деятельности Банк руководствуется Целями в области устойчивого развития ООН и принципами ESG.
Контакты пресс-центра ЕАБР:
Сапаргалиева Азима, +7 (777) 750 00 08 (Алматы)
Горбачёв Сергей, +7 (916) 727 22 00 (Москва)
pressa@eabr.org
www.eabr.org";2022-02-16;[]
5;ЕАБР и Партнерский центр развития технологий будут продвигать лучшие практики «умного города»;"Москва, 15 февраля 2022 года.
	Фонд цифровых инициатив Евразийского банка развития (ФЦИ ЕАБР) и Партнерский центр развития технологий будут осуществлять поддержку и участвовать в разработке технологий «умного города». Соответствующий меморандум подписали заместитель председателя Правления ЕАБР, куратор ФЦИ ЕАБР Тигран Саркисян и генеральный директор АО «Партнерский центр развития технологий» Сергей Зинченко.
Таким образом, ФЦИ ЕАБР продолжает наращивать компетенции и развивать партнерскую сеть по направлению поиска и анализа лучших в странах ЕАБР практик создания систем «умного города» и их масштабирования на евразийском пространстве.
Расположенный в Инновационном центре «Сколково» Партнерский центр развития технологий в качестве института развития специализируется на организации международной исследовательской деятельности и трансфере технологий. Особое внимание уделяется вопросам внедрения передовых сквозных технологий (в том числе технологий Индустрии 4.0) для достижения целей устойчивого развития.
В рамках подписанного сегодня меморандума ФЦИ ЕАБР и Партнерский центр развития технологий, кроме упомянутой деятельности в сфере «умного города», намерены совместно осуществлять поддержку инновационных решений в области цифровизации здравоохранения, проектов в сфере зеленых технологий и экологического мониторинга в странах евразийского пространства. Планируется вести проектирование и внедрение цифровых решений в формате построения цифровых экосистем, а также рассмотрение возможности участия в разработке и запуске в странах евразийского пространства пилотных проектов в сфере цифровой трансформации.
Справка:
Евразийский банк развития (ЕАБР) — международная финансовая организация, осуществляющая инвестиционную деятельность на евразийском пространстве. Более 15 лет ЕАБР содействует укреплению и расширению экономических связей и всестороннему развитию стран-участниц: Армении, Беларуси, Казахстана, Кыргызстана, России и Таджикистана. Уставный капитал ЕАБР составляет 7 млрд долларов США. Основную долю в портфеле ЕАБР занимают проекты с интеграционным эффектом в сферах транспортной инфраструктуры, цифровых систем, зеленой энергетики, сельского хозяйства, промышленности и машиностроения. В своей деятельности Банк руководствуется Целями в области устойчивого развития ООН и принципами ESG.
Фонд цифровых инициатив Евразийского банка развития (ФЦИ ЕАБР) учрежден Советом Банка 30 июня 2020 года. Цель Фонда — оказание содействия в формировании инструментов и практик цифровой трансформации государств — участников ЕАБР, в том числе путем интеграции информационных ресурсов и участия в разработке и финансировании проектов, в том числе в рамках Основных направлений цифровой повестки ЕАЭС. Приоритетные направления работы в Республике Таджикистан: обеспечение энергетической безопасности страны через развитие малой гидро- и солнечной энергетики, реконструкции электросетевой инфраструктуры; обеспечение продовольственной безопасности через развитие сектора переработки сельхозпродукции; диверсификация промышленности и развитие предпринимательства через создание промышленных предприятий и поддержку МСБ; осуществление цифровой трансформации через участие в разработке цифровых решений, направленных на укрепление интеграционных взаимосвязей, поддержку цифровых проектов госорганов и в корпоративном секторе.
Контакты пресс-центра ЕАБР:
Сапаргалиева Азима, +7 (777) 750 00 08 (Алматы)
Горбачёв Сергей, +7 (916) 727 22 00 (Москва)
pressa@eabr.org
www.eabr.org";2022-02-15;[]
6;"Зампредседателя ЕАБР Амангельды ИСЕНОВ: ХОТИМ НАРАСТИТЬ ""ЗЕЛЕНЫЕ"" ПРОЕКТЫ";"Евразийский банк развития продолжает наращивать свое участие в проектах в Казахстане. В целом на сегодняшний день накопленный инвестиционный портфель банка составляет почти $11 млрд по 240 проектам, а доля Казахстана в нем равна 36,2%. О планах участия в проекте строительства второго этапа магистрального газопровода ""Сарыарка"" рассказал заместитель председателя правления Амангельды ИСЕНОВ.

- Расскажите о проектном портфеле ЕАБР, в частности, о доле Казахстана. Планируете ли увеличивать или уменьшать его, если да, то когда и на сколько?
- За последние три года мы вышли на новую траекторию роста, наш текущий инвестиционный портфель за период 2018–2020 годов вырос почти в два раза – с $2,3 до $4,4 млрд. На сегодняшний день накопленный инвестиционный портфель ЕАБР составляет почти $11 млрд по 240 проектам. Доля Казахстана в нем равна 36,2% или около $4 млрд по 88 проектам. Суммарный годовой объем операций за 2021 год ожидается на уровне $1,7 млрд, что превышает плановый показатель за соответствующий период, предусмотренный стратегией банка в 1,5 раза.
Безусловно, планы по увеличению доли портфеля в Казахстане есть. В первую очередь, это касается финансирования пула строительства больниц в формате государственно-частного партнерства в соответствии с тем меморандумом, который мы подписали с Минздравом Казахстана. Помимо этого, мы планируем расширить рынок ""зеленого"" финансирования и сотрудничество с госфондом ""Самрук-Казына"".
Только за последнее время в Казахстане банк принял участие в таких знаковых проектах, как строительство международного аэропорта в Туркестан стоимостью порядка $165 млн, из них наш вклад — $134 млн, строительство Большой Алматинской кольцевой автородороги (БАКАД) в синдикате с другими международными институтами развития. Стоимость этого проекта более $743 млн, вклад ЕАБР — $135 млн. В рамках еще одного синдиката мы финансируем расширение и модернизацию международного аэропорта Алматы, в объеме порядка $40 млн.
Один из важных и очень интересных проектов – консультационное сопровождение проекта по разработке трехмерной геоинформационной системы в Казахстане. За счет средств нашего Фонда технического содействия мы окажем техническое содействие при подготовке инвестиционного проекта по созданию такой системы в 17 крупных городах Казахстана. На сегодняшний день подобные геопорталы городов в республике отсутствуют, подобная система реализована только в Нур-Султане через концепцию Smart City.
Еще один важный проект, который мы рассматриваем и готовы профинансировать, это реконструкция и расширение магистрального водовода ""Астрахань — Мангышлак"", основного источника воды для жителей Атырауской и Мангистауской областей. В начале июня мы подписали соглашение и готовы предоставить порядка 120 млрд тенге. Реконструкция и расширение магистрального водовода ""Астрахань — Мангышлак"" позволит решить назревающую проблему водоснабжения Западного Казахстана.

- Можете рассказать поподробнее про наращивание сотрудничества с ""Самрук-Казына""?
- Мы прорабатываем сейчас с ними пул проектов. Помимо этого, мы могли бы рассмотреть вопросы прямых инвестиций, совместного участия в проектах путем прямого инвестирования в том числе по возобновляемым источникам энергии (ВИЭ). Это все зависит от потребностей, формата, конфигурации сделок, от того, где это нужно или не нужно в принципе, но такой инструмент он у нас должен быть и необходимо его развивать.

- Есть ли какие-нибудь новые данные по ""зеленому"" финансированию или энергетике?
- Сумма ""зеленых"" проектов в текущем инвестиционном портфеле составляет более $500 млн или 11% от общей суммы текущего инвестиционного портфеля банка, в том числе семь проектов в Казахстане на сумму $240 млн.
В этом году мы профинансировали ряд важных для социально-экономического развития страны проектов. В частности, это кредитное соглашение по строительству газотурбинной установки с котлом-утилизатором Актобе ТЭЦ на сумму 16 млрд тенге. Вопрос модернизации действующих электростанций и строительства новых мощностей один из самых ключевых для развития региона как с точки зрения экономики, так и экологии. Кроме того, в период проведения строительно-монтажных работ будет создано до 120 рабочих мест.
Также 2 декабря в рамках Евразийского конгресса мы подписали соглашение о сотрудничестве с АО ""Самрук-Энерго"" и АО ""АлЭС"", которым мы подтверждаем свою заинтересованность и готовность в организации финансирования проекта ""Реконструкция Алматинской ТЭЦ-3 на базе парогазовой установки с увеличением мощности станции до 450 МВт"".

- Как ведется работа по ""зеленому"" финансированию в свете того, что этот инструмент не первый год у всех на устах и Казахстан стремится прочно внедрить его.
- В настоящее время банком ведутся определенные работы над развитием ESG-повестки и финансированием соответствующих проектов на территории стран-участниц банка в сфере инфраструктуры, возобновляемой электроэнергетики и жилищно-коммунального хозяйства. Следующим логическим шагом в этом направлении становится расширение экспертизы в области зеленой экономики. Это очень важный момент, который будет давать четкий посыл рынку и позиционировать банк как ""зеленый"" институт. Проекты в этой области прорабатываются, и нужно понимать, что это две подготовительные платформы. Банк должен переработать свою конфигурацию и выстроить бизнес-процессы, проектный подход должен быть адаптирован. Вот эти работы сейчас активно ведутся в банке.
В конце сентября мы утвердили политику по выпуску ""зеленых"" и социальных долговых инструментов. Документ разработан для обеспечения реализации проектов в области устойчивого развития.
Политика определяет цели и условия выпусков ""зеленых"" и социальных облигаций. Также она определяет цели и условия привлечения финансовых средств через иные формы заимствований на рынках капитала, РЕПО и производные финансовые инструменты.

- Что подразумеваетcя под переработкой конфигурации?
- Работа с консультантом, чтобы сделать банк соответствующим принципам и политикам ""зеленой"" энергетики и экономики. У нас уже есть проекты, которые по всем критериям являются ""зелеными"". Формально включить некоторые из них в реестр мы пока не можем, потому что нужно проходить определенные процедуры верификации. Эта работа сейчас и проводится. Соответственно можно будет потом говорить не только о содержательной части ""зеленых"" проектов как таковых, но и об официальном признании. Наличие ""зелености"" проекта должно подтверждаться определенными критериями. Мы формируем центр компетенций и партнерский круг в этой части встраиваем в свои бизнес-процессы. Наметки по партнерскому кругу – это центр ""зеленых"" финансов МФЦА и группа ""Самрук-Казына"". Они однозначные приверженцы ""зеленого"" финансирования.

- По поводу возможности того, что ЕАБР может профинансировать производство антиковидной вакцины. Есть ли какие-то подвижки?
- Это было заявление о нашей готовности, к нам не обращались по этому вопросу. По линии здравоохранения 2 декабря мы подписали соглашение с Фондом развития промышленности с целью реализации проектов по развитию системы здравоохранения республики, в том числе приобретения автомобилей скорой помощи на сумму 10 млрд тенге.

- А что по поводу проекта строительства второго этапа магистрального газопровода ""Сарыарка""?
- Мы готовы финансировать второй этап строительства магистрального газопровода ""Сарыарка"". Во-первых, для нас честь участвовать в такого рода проектах, мы рады, что были полезными при реализации такого масштабного проекта. Здесь мы хорошо работаем и продолжаем сотрудничать с Банком развития Казахстана. Это наш опорный и стратегический партнер в Казахстане, он входит в коалицию банков развития, соглашение о сотрудничестве которых было подписано в декабре 2020 года. Поэтому при готовности инициатора проекта мы готовы включиться в процедуру рассмотрения проекта. Пока конкретных и предметных предложений с деталями сделки не было, но наши партнеры и клиенты знают, что мы готовы.

- Ранее сообщалось, что холдинг ""Байтерек"" рассматривает возможность инвестирования средств ЕАБР для финансирования программы доступного жилья. В частности, планировалось привлечь около 300 млрд тенге.
- В июне 2021 года между ЕАБР и Казахстанской жилищной компанией (КЖК) были заключены кредитные соглашения, в рамках которых ЕАБР предоставил КЖК финансирование в российских рублях сроком на 5 лет для мероприятий в рамках госпрограммы обеспечения населения доступным жильем. И совсем недавно мы подписали совместное мандатное письмо по выпуску социальных и ""зеленых"" облигаций на площадке Astana International Exchange (AIX). Эмитентом выпуска выступит КЖК. ЕАБР выступит в качестве андеррайтера, финансового консультанта и инвестора.

- Есть ли какие-то планы или желание по совместным проектам с другими странами ЕАЭС, помимо России?
- В июне 2021 года советом банка была принята стратегия на 2022-2026 годы. В новом стратегическом периоде мы сконцентрируемся на реализации евразийских мегапроектов, активизации деятельности в странах миноритарных акционеров, развитии цифровых компетенций, консолидации инвестиционных ресурсов, содействии достижению целей в области устойчивого развития ООН и использовании подходов ESG.
Планы ЕАБР в ближайшие 5 лет профинансировать проекты в Казахстане в объеме около $3,8 млрд. Мы сосредоточимся на реализации мегапроектов, направленных на содействие социально-экономическому росту Казахстана и других государств-участников ЕАБР. Один из них – Евразийский транспортный каркас, включающий в себя международные транспортные коридоры ""Север – Юг"" и ""Европа ― Западный Китай"", открывающие новые возможности для грузоперевозок и повышающие комфорт дальних поездок для населения.
Другой проект - Евразийская товаропроводящая система, направленная на обеспечение продовольственной безопасности стран присутствия ЕАБР, снижение издержек агробизнеса и цен на продовольствие.
Еще один важный проект – водно-энергетический комплекс Центральной Азии, в основе которого лежит взаимосвязанная система гидроузлов, электростанций, электрических сетей и мелиоративного комплекса в бассейне Аральского моря, которая была создана еще в соответствии период. Ранее этот комплекс функционировал как единый комплекс с приоритетным использованием водных ресурсов для нужд сельского хозяйства на орошение – около 90% от всей потребляемой воды.
Совокупный объем инвестиций банка в мегапроекты планируется на уровне $1,2 млрд.

- Спасибо за интервью!";2022-02-11;[]
